종목코드,종목명,상장일,분류체계,운용사,수익률(최근 1년),기초지수,추적오차,순자산총액,괴리율,변동성,복제방법,총보수,과세유형
"461950","KODEX 2차전지핵심소재10","2023/07/04","주식-업종섹터-업종테마","삼성자산운용","51.78","FnGuide 2차전지핵심소재10 지수","0.47","238693142229","-0.01","매우높음","실물(패시브)","0.390000","비과세"
"395160","KODEX AI반도체","2021/07/30","주식-업종섹터-업종테마","삼성자산운용","217.07","FnGuide AI반도체지수","0.61","2351047047479","-0.08","매우높음","실물(패시브)","0.450000","비과세"
"471990","KODEX AI반도체핵심장비","2023/11/21","주식-업종섹터-업종테마","삼성자산운용","185.75","iSelect AI 반도체핵심장비 지수","0.37","462907027810","0.18","매우높음","실물(패시브)","0.390000","비과세"
"487240","KODEX AI전력핵심설비","2024/07/09","주식-업종섹터-업종테마","삼성자산운용","218.12","iSelect AI 전력핵심설비 지수(Price Return)","0.41","1894995592949","-0.03","매우높음","실물(패시브)","0.390000","비과세"
"266370","KODEX IT","2017/03/28","주식-업종섹터-정보기술","삼성자산운용","196.94","KRX 정보기술","0.56","57076823699","-0.15","매우높음","실물(패시브)","0.450000","비과세"
"368680","KODEX K-뉴딜디지털플러스","2020/11/10","주식-업종섹터-업종테마","삼성자산운용","13.70","FnGuide K-뉴딜 디지털 플러스 지수","0.40","7851746962","-0.10","매우높음","실물(패시브)","0.090000","비과세"
"292190","KODEX KRX300","2018/03/26","주식-시장대표","삼성자산운용","144.76","KRX 300","0.50","65356377300","0.07","매우높음","실물(패시브)","0.050000","비과세"
"229720","KODEX KTOP30","2015/10/14","주식-시장대표","삼성자산운용","100.94","KTOP 30","0.56","19280076311","-0.14","매우높음","실물(패시브)","0.250000","비과세"
"266360","KODEX K콘텐츠","2017/03/28","주식-업종섹터-정보기술","삼성자산운용","9.24","KRX K콘텐츠","0.42","47752794410","-0.13","매우높음","실물(패시브)","0.450000","비과세"
"289040","KODEX MSCI KOREA ESG유니버설","2018/02/07","주식-전략-전략테마","삼성자산운용","154.76","MSCI Korea ESG Universal Capped Index","0.60","18447990261","-0.53","매우높음","실물(패시브)","0.300000","비과세"
"156080","KODEX MSCI Korea","2012/04/30","주식-시장대표","삼성자산운용","158.67","MSCI Korea Index","0.53","33788834071","-0.57","매우높음","실물(패시브)","0.090000","비과세"
"278540","KODEX MSCI Korea TR","2017/11/09","주식-시장대표","삼성자산운용","166.27","MSCI Korea TR Index","0.11","2443279555786","-0.08","매우높음","실물(패시브)","0.090000","배당소득세(보유기간과세)"
"395170","KODEX Top10동일가중","2021/07/30","주식-규모-대형주","삼성자산운용","111.13","FnGuide TOP10 동일가중 지수","0.46","62957262603","0.00","매우높음","실물(패시브)","0.150000","비과세"
"315930","KODEX Top5PlusTR","2019/01/22","주식-전략-전략테마","삼성자산운용","195.93","FnGuide TOP 5 Plus Total Return 지수","0.39","1529795438729","0.01","매우높음","실물(패시브)","0.150000","배당소득세(보유기간과세)"
"275290","KODEX 가치주","2017/07/11","주식-전략-가치","삼성자산운용","144.01","MSCI Korea IMI Enhanced Value Capped","0.81","23844364389","0.02","매우높음","실물(패시브)","0.300000","비과세"
"117700","KODEX 건설","2009/10/30","주식-업종섹터-건설","삼성자산운용","123.11","KRX 건설","0.68","74244241514","0.34","매우높음","실물(패시브)","0.450000","비과세"
"300950","KODEX 게임산업","2018/07/24","주식-업종섹터-업종테마","삼성자산운용","2.16","FnGuide 게임 산업 지수","0.60","35274031056","-0.68","매우높음","실물(패시브)","0.450000","비과세"
"266390","KODEX 경기소비재","2017/03/28","주식-업종섹터-경기소비재","삼성자산운용","34.75","KRX 경기소비재","0.92","10124354561","0.14","매우높음","실물(패시브)","0.450000","비과세"
"279530","KODEX 고배당주","2017/10/17","주식-전략-배당","삼성자산운용","71.54","FnGuide 고배당 Plus 지수","2.33","383745103503","0.16","높음","실물(패시브)","0.300000","비과세"
"0089D0","KODEX 금융고배당TOP10","2025/08/12","주식-업종섹터-업종테마","삼성자산운용","0.00","코스피 200 금융 고배당 TOP 10 지수","1.35","248775305436","0.05","매우높음","실물(패시브)","0.300000","비과세"
"498410","KODEX 금융고배당TOP10타겟위클리커버드콜","2024/12/17","주식-전략-구조화","삼성자산운용","35.48","코스피 200 금융 고배당 TOP 10 타겟 15%분배 위클리 커버드콜 지수","4.52","637372879391","0.05","매우높음","실물(패시브)","0.390000","배당소득세(보유기간과세)"
"102960","KODEX 기계장비","2008/05/29","주식-업종섹터-산업재","삼성자산운용","112.10","KRX 기계장비","0.52","20162790790","0.16","매우높음","실물(패시브)","0.450000","비과세"
"404260","KODEX 기후변화솔루션","2021/10/29","주식-전략-전략테마","삼성자산운용","125.53","KRX 기후변화 솔루션지수","0.44","20306967308","-0.55","매우높음","실물(패시브)","0.090000","비과세"
"445290","KODEX 로봇액티브","2022/11/15","주식-업종섹터-업종테마","삼성자산운용","127.64","iSelect K-로봇테마 지수","7.69","1074773896844","-0.27","매우높음","실물(액티브)","0.500000","배당소득세(보유기간과세)"
"337120","KODEX 멀티팩터","2019/11/14","주식-전략-혼합/퀀트","삼성자산운용","133.94","FnGuide 멀티팩터 지수","0.61","17773298644","-0.18","매우높음","실물(패시브)","0.300000","비과세"
"401470","KODEX 메타버스액티브","2021/10/13","주식-업종섹터-업종테마","삼성자산운용","32.85","FnGuide K-메타버스 지수","6.51","83741422323","-0.57","매우높음","실물(액티브)","0.500000","배당소득세(보유기간과세)"
"244620","KODEX 모멘텀Plus","2016/05/13","주식-전략-성장","삼성자산운용","57.62","FnGuide 모멘텀 Plus 지수","0.55","14083687256","-0.54","매우높음","실물(패시브)","0.300000","비과세"
"275280","KODEX 모멘텀주","2017/07/11","주식-전략-성장","삼성자산운용","136.43","MSCI Korea IMI Momentum Capped","0.53","27899724922","-0.54","매우높음","실물(패시브)","0.300000","비과세"
"244580","KODEX 바이오","2016/05/13","주식-업종섹터-업종테마","삼성자산운용","63.90","FnGuide 바이오 지수","0.26","307730190674","-0.15","매우높음","실물(패시브)","0.450000","비과세"
"091160","KODEX 반도체","2006/06/27","주식-업종섹터-업종테마","삼성자산운용","213.31","KRX 반도체","0.55","4335847535430","-0.50","매우높음","실물(패시브)","0.450000","비과세"
"0080G0","KODEX 방산TOP10","2025/07/15","주식-업종섹터-업종테마","삼성자산운용","0.00","iSelect 방산 TOP10 지수(Price Return)","0.21","545219010302","-0.19","매우높음","실물(패시브)","0.450000","비과세"
